,loss,accuracy,val_loss,val_accuracy,lr
0,1.2809326648712158,0.6319000124931335,0.6055933833122253,0.828000009059906,1e-04
1,0.768883228302002,0.7737500071525574,0.5577697157859802,0.8360000252723694,1e-04
2,0.6451684832572937,0.8097000122070312,0.6444817185401917,0.8256000280380249,1e-04
3,0.5699862241744995,0.8291000127792358,0.5851625204086304,0.8420000076293945,1e-04
4,0.517406702041626,0.84579998254776,0.5296359658241272,0.8532000184059143,1e-04
5,0.461059033870697,0.8618000149726868,0.5330142378807068,0.8551999926567078,1e-04
6,0.4228096604347229,0.8723000288009644,0.5842118859291077,0.8496000170707703,1e-04
7,0.39552149176597595,0.8779500126838684,0.5375680923461914,0.8596000075340271,1e-04
8,0.361411452293396,0.891700029373169,0.7324564456939697,0.8271999955177307,1e-04
9,0.3540242910385132,0.8892999887466431,0.5269049406051636,0.8644000291824341,1e-04
